season,venue,event,winner_runs,umpire2,toss_winner,date,neutralvenue,umpire1,city,reserve_umpire,winner,eliminator,date1,method,team1,toss_decision,gender,team2,balls_per_over,winner_wickets,tv_umpire,player_of_match,match_referee,outcome,date2,match_number,matchId
2020/21,Sheikh Zayed Stadium,Indian Premier League,,VK Sharma,Chennai Super Kings,2020-09-19,,CB Gaffaney,Abu Dhabi,UV Gandhe,Chennai Super Kings,,,,Mumbai Indians,field,male,Chennai Super Kings,6,5.0,S Ravi,AT Rayudu,M Nayyar,,,1.0,1216492
2020/21,Dubai International Cricket Stadium,Indian Premier League,,Nitin Menon,Kings XI Punjab,2020-09-20,,AK Chaudhary,,YC Barde,,Delhi Capitals,,,Delhi Capitals,field,male,Kings XI Punjab,6,,PR Reiffel,MP Stoinis,J Srinath,tie,,2.0,1216493
2020/21,Dubai International Cricket Stadium,Indian Premier League,10.0,Nitin Menon,Sunrisers Hyderabad,2020-09-21,,AY Dandekar,,YC Barde,Royal Challengers Bangalore,,,,Royal Challengers Bangalore,field,male,Sunrisers Hyderabad,6,,AK Chaudhary,YS Chahal,Prakash Bhatt,,,3.0,1216534
2020/21,Sharjah Cricket Stadium,Indian Premier League,16.0,VA Kulkarni,Chennai Super Kings,2020-09-22,,C Shamshuddin,,K Srinivasan,Rajasthan Royals,,,,Rajasthan Royals,field,male,Chennai Super Kings,6,,KN Ananthapadmanabhan,SV Samson,V Narayan Kutty,,,4.0,1216496
2020/21,Sheikh Zayed Stadium,Indian Premier League,49.0,S Ravi,Kolkata Knight Riders,2020-09-23,,CB Gaffaney,Abu Dhabi,PG Pathak,Mumbai Indians,,,,Mumbai Indians,field,male,Kolkata Knight Riders,6,,VK Sharma,RG Sharma,M Nayyar,,,5.0,1216508
2020/21,Dubai International Cricket Stadium,Indian Premier League,97.0,PR Reiffel,Royal Challengers Bangalore,2020-09-24,,AK Chaudhary,,AY Dandekar,Kings XI Punjab,,,,Kings XI Punjab,field,male,Royal Challengers Bangalore,6,,Nitin Menon,KL Rahul,J Srinath,,,6.0,1216510
2020/21,Dubai International Cricket Stadium,Indian Premier League,44.0,RK Illingworth,Chennai Super Kings,2020-09-25,,KN Ananthapadmanabhan,,VA Kulkarni,Delhi Capitals,,,,Delhi Capitals,field,male,Chennai Super Kings,6,,K Srinivasan,PP Shaw,V Narayan Kutty,,,7.0,1216539
2020/21,Sheikh Zayed Stadium,Indian Premier League,,VK Sharma,Sunrisers Hyderabad,2020-09-26,,CB Gaffaney,Abu Dhabi,UV Gandhe,Kolkata Knight Riders,,,,Sunrisers Hyderabad,bat,male,Kolkata Knight Riders,6,7.0,S Ravi,Shubman Gill,Shakti Singh,,,8.0,1216545
2020/21,Sharjah Cricket Stadium,Indian Premier League,,K Srinivasan,Rajasthan Royals,2020-09-27,,RK Illingworth,,VA Kulkarni,Rajasthan Royals,,,,Kings XI Punjab,field,male,Rajasthan Royals,6,4.0,C Shamshuddin,SV Samson,V Narayan Kutty,,,9.0,1216527
2020/21,Dubai International Cricket Stadium,Indian Premier League,,PR Reiffel,Mumbai Indians,2020-09-28,,Nitin Menon,,YC Barde,,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,male,Mumbai Indians,6,,AK Chaudhary,AB de Villiers,J Srinath,tie,,10.0,1216547
2020/21,Sheikh Zayed Stadium,Indian Premier League,15.0,S Ravi,Delhi Capitals,2020-09-29,,VK Sharma,Abu Dhabi,PG Pathak,Sunrisers Hyderabad,,,,Sunrisers Hyderabad,field,male,Delhi Capitals,6,,CB Gaffaney,Rashid Khan,M Nayyar,,,11.0,1216532
2020/21,Dubai International Cricket Stadium,Indian Premier League,37.0,C Shamshuddin,Rajasthan Royals,2020-09-30,,KN Ananthapadmanabhan,,K Srinivasan,Kolkata Knight Riders,,,,Kolkata Knight Riders,field,male,Rajasthan Royals,6,,VA Kulkarni,Shivam Mavi,V Narayan Kutty,,,12.0,1216504
2020/21,Sheikh Zayed Stadium,Indian Premier League,48.0,S Ravi,Kings XI Punjab,2020-10-01,,VK Sharma,Abu Dhabi,PG Pathak,Mumbai Indians,,,,Mumbai Indians,field,male,Kings XI Punjab,6,,UV Gandhe,KA Pollard,M Nayyar,,,13.0,1216503
2020/21,Dubai International Cricket Stadium,Indian Premier League,7.0,PR Reiffel,Sunrisers Hyderabad,2020-10-02,,AK Chaudhary,,AY Dandekar,Sunrisers Hyderabad,,,,Sunrisers Hyderabad,bat,male,Chennai Super Kings,6,,YC Barde,PK Garg,Prakash Bhatt,,,14.0,1216516
2020/21,Sharjah Cricket Stadium,Indian Premier League,18.0,RK Illingworth,Kolkata Knight Riders,2020-10-03,,VA Kulkarni,,K Srinivasan,Delhi Capitals,,,,Delhi Capitals,field,male,Kolkata Knight Riders,6,,KN Ananthapadmanabhan,SS Iyer,V Narayan Kutty,,,16.0,1216515
2020/21,Sheikh Zayed Stadium,Indian Premier League,,S Ravi,Rajasthan Royals,2020-10-03,,CB Gaffaney,Abu Dhabi,UV Gandhe,Royal Challengers Bangalore,,,,Rajasthan Royals,bat,male,Royal Challengers Bangalore,6,8.0,PG Pathak,YS Chahal,M Nayyar,,,15.0,1216514
2020/21,Sharjah Cricket Stadium,Indian Premier League,34.0,RK Illingworth,Mumbai Indians,2020-10-04,,KN Ananthapadmanabhan,,VA Kulkarni,Mumbai Indians,,,,Mumbai Indians,bat,male,Sunrisers Hyderabad,6,,K Srinivasan,TA Boult,V Narayan Kutty,,,17.0,1216538
2020/21,Dubai International Cricket Stadium,Indian Premier League,,Nitin Menon,Kings XI Punjab,2020-10-04,,AY Dandekar,,YC Barde,Chennai Super Kings,,,,Kings XI Punjab,bat,male,Chennai Super Kings,6,10.0,PR Reiffel,SR Watson,J Srinath,,,18.0,1216513
2020/21,Dubai International Cricket Stadium,Indian Premier League,59.0,YC Barde,Royal Challengers Bangalore,2020-10-05,,Nitin Menon,,AY Dandekar,Delhi Capitals,,,,Delhi Capitals,field,male,Royal Challengers Bangalore,6,,PR Reiffel,AR Patel,Prakash Bhatt,,,19.0,1216519
