venue,umpire2,winner_runs,date,method,reserve_umpire,winner,city,balls_per_over,outcome,match_number,match_referee,team1,eliminator,date1,gender,team2,winner_wickets,toss_winner,toss_decision,date2,tv_umpire,season,umpire1,event,neutralvenue,player_of_match,matchId
Sheikh Zayed Stadium,VK Sharma,,2020-09-19,,UV Gandhe,Chennai Super Kings,Abu Dhabi,6,,1.0,M Nayyar,Mumbai Indians,,,male,Chennai Super Kings,5.0,Chennai Super Kings,field,,S Ravi,2020/21,CB Gaffaney,Indian Premier League,,AT Rayudu,1216492
Dubai International Cricket Stadium,Nitin Menon,,2020-09-20,,YC Barde,,,6,tie,2.0,J Srinath,Delhi Capitals,Delhi Capitals,,male,Kings XI Punjab,,Kings XI Punjab,field,,PR Reiffel,2020/21,AK Chaudhary,Indian Premier League,,MP Stoinis,1216493
Dubai International Cricket Stadium,Nitin Menon,10.0,2020-09-21,,YC Barde,Royal Challengers Bangalore,,6,,3.0,Prakash Bhatt,Royal Challengers Bangalore,,,male,Sunrisers Hyderabad,,Sunrisers Hyderabad,field,,AK Chaudhary,2020/21,AY Dandekar,Indian Premier League,,YS Chahal,1216534
Sharjah Cricket Stadium,VA Kulkarni,16.0,2020-09-22,,K Srinivasan,Rajasthan Royals,,6,,4.0,V Narayan Kutty,Rajasthan Royals,,,male,Chennai Super Kings,,Chennai Super Kings,field,,KN Ananthapadmanabhan,2020/21,C Shamshuddin,Indian Premier League,,SV Samson,1216496
Sheikh Zayed Stadium,S Ravi,49.0,2020-09-23,,PG Pathak,Mumbai Indians,Abu Dhabi,6,,5.0,M Nayyar,Mumbai Indians,,,male,Kolkata Knight Riders,,Kolkata Knight Riders,field,,VK Sharma,2020/21,CB Gaffaney,Indian Premier League,,RG Sharma,1216508
Dubai International Cricket Stadium,PR Reiffel,97.0,2020-09-24,,AY Dandekar,Kings XI Punjab,,6,,6.0,J Srinath,Kings XI Punjab,,,male,Royal Challengers Bangalore,,Royal Challengers Bangalore,field,,Nitin Menon,2020/21,AK Chaudhary,Indian Premier League,,KL Rahul,1216510
Dubai International Cricket Stadium,RK Illingworth,44.0,2020-09-25,,VA Kulkarni,Delhi Capitals,,6,,7.0,V Narayan Kutty,Delhi Capitals,,,male,Chennai Super Kings,,Chennai Super Kings,field,,K Srinivasan,2020/21,KN Ananthapadmanabhan,Indian Premier League,,PP Shaw,1216539
Sheikh Zayed Stadium,VK Sharma,,2020-09-26,,UV Gandhe,Kolkata Knight Riders,Abu Dhabi,6,,8.0,Shakti Singh,Sunrisers Hyderabad,,,male,Kolkata Knight Riders,7.0,Sunrisers Hyderabad,bat,,S Ravi,2020/21,CB Gaffaney,Indian Premier League,,Shubman Gill,1216545
Sharjah Cricket Stadium,K Srinivasan,,2020-09-27,,VA Kulkarni,Rajasthan Royals,,6,,9.0,V Narayan Kutty,Kings XI Punjab,,,male,Rajasthan Royals,4.0,Rajasthan Royals,field,,C Shamshuddin,2020/21,RK Illingworth,Indian Premier League,,SV Samson,1216527
Dubai International Cricket Stadium,PR Reiffel,,2020-09-28,,YC Barde,,,6,tie,10.0,J Srinath,Royal Challengers Bangalore,Royal Challengers Bangalore,,male,Mumbai Indians,,Mumbai Indians,field,,AK Chaudhary,2020/21,Nitin Menon,Indian Premier League,,AB de Villiers,1216547
