canonical_id,alias_string,source,priority
V Kohli,Virat Kohli,manual,100
PD Salt,Phil Salt,manual,100
PD Salt,Philip Salt,manual,100
RM Patidar,Rajat Patidar,manual,100
JM Sharma,Jitesh Sharma,manual,100
TH David,Tim David,manual,100
R Shepherd,Romario Shepherd,manual,100
KH Pandya,Krunal Pandya,manual,100
B Kumar,Bhuvneshwar Kumar,manual,100
JR Hazlewood,Josh Hazlewood,manual,100
TM Head,Travis Head,manual,100
H Klaasen,Heinrich Klaasen,manual,100
Nithish Kumar Reddy,Nitish Kumar Reddy,manual,100
HV Patel,Harshal Patel,manual,100
JD Unadkat,Jaydev Unadkat,manual,100
E Malinga,Eshan Malinga,manual,100
AS Roy,Anukul Roy,manual,100
CV Varun,Varun Chakaravarthy,manual,100
CV Varun,Varun Chakravarthy,manual,100
SN Thakur,Shardul Thakur,manual,100
Finn Allen,Finn Allen,stats_player_id,0
AM Ghazanfar,AM Ghazanfar,stats_player_id,0
B Muzarabani,B Muzarabani,stats_player_id,0
B Muzarabani,Blessing Muzarabani,manual,100
RD Gaikwad,Ruturaj Gaikwad,manual,100
