match_key,match_id,player_id,date,venue,batting_team,bowling_team,runs,balls,fours,sixes,dismissed,wickets,balls_bowled,runs_conceded,total_balls_faced,total_balls_bowled,role
1304050_2022-03-28,1304050,A Badoni,2022-03-28,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Gujarat Titans,39.0,20.0,3.0,3.0,1.0,0.0,0.0,0.0,20.0,0.0,batter
1304053_2022-03-31,1304053,A Badoni,2022-03-31,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Chennai Super Kings,17.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,batter
1304058_2022-04-04,1304058,A Badoni,2022-04-04,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Sunrisers Hyderabad,19.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,batter
1304061_2022-04-07,1304061,A Badoni,2022-04-07,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Delhi Capitals,10.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,batter
1304066_2022-04-10,1304066,A Badoni,2022-04-10,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Rajasthan Royals,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,batter
1304077_2022-04-19,1304077,A Badoni,2022-04-19,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Royal Challengers Bangalore,13.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,batter
1304083_2022-04-24,1304083,A Badoni,2022-04-24,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Mumbai Indians,11.0,7.0,0.0,1.0,1.0,1.0,5.0,5.0,7.0,5.0,allrounder
1304088_2022-04-29,1304088,A Badoni,2022-04-29,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Punjab Kings,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,batter
1304099_2022-05-07,1304099,A Badoni,2022-05-07,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Kolkata Knight Riders,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,batter
1304103_2022-05-10,1304103,A Badoni,2022-05-10,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Gujarat Titans,7.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,batter
1304109_2022-05-15,1304109,A Badoni,2022-05-15,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Rajasthan Royals,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,4.0,bowler
1359477_2023-04-01,1359477,A Badoni,2023-04-01,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Delhi Capitals,12.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,batter
1359480_2023-04-03,1359480,A Badoni,2023-04-03,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Chennai Super Kings,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,batter
1359489_2023-04-10,1359489,A Badoni,2023-04-10,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Royal Challengers Bangalore,25.0,17.0,4.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,batter
1359495_2023-04-15,1359495,A Badoni,2023-04-15,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Punjab Kings,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,batter
1359500_2023-04-19,1359500,A Badoni,2023-04-19,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Rajasthan Royals,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,batter
1359504_2023-04-22,1359504,A Badoni,2023-04-22,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Gujarat Titans,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,batter
1359512_2023-04-28,1359512,A Badoni,2023-04-28,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Punjab Kings,37.0,16.0,3.0,3.0,1.0,0.0,1.0,0.0,16.0,1.0,batter
1359517_2023-05-01,1359517,A Badoni,2023-05-01,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Royal Challengers Bangalore,4.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,batter
1359519_2023-05-03,1359519,A Badoni,2023-05-03,"M Chinnaswamy Stadium, Bengaluru",unknown,unknown,35.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,batter
1359525_2023-05-07,1359525,A Badoni,2023-05-07,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Gujarat Titans,21.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,batter
1359542_2023-05-20,1359542,A Badoni,2023-05-20,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Kolkata Knight Riders,17.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,batter
1370351_2023-05-24,1370351,A Badoni,2023-05-24,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Mumbai Indians,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,batter
1422122_2024-03-24,1422122,A Badoni,2024-03-24,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Rajasthan Royals,1.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,4.0,allrounder
