franchise_key,stats_player_id,stats_player_id_norm,squad_player_name
chennai super kings,Ruturaj Gaikwad,ruturaj gaikwad,Ruturaj Gaikwad
chennai super kings,Ayush Mhatre,ayush mhatre,Ayush Mhatre
chennai super kings,Sarfaraz Khan,sarfaraz khan,Sarfaraz Khan
chennai super kings,Sanju Samson,sanju samson,Sanju Samson
chennai super kings,MS Dhoni,ms dhoni,MS Dhoni
chennai super kings,Urvil Patel,urvil patel,Urvil Patel
chennai super kings,Kartik Sharma,kartik sharma,Kartik Sharma
chennai super kings,Shivam Dube,shivam dube,Shivam Dube
chennai super kings,Ramakrishna Ghosh,ramakrishna ghosh,Ramakrishna Ghosh
chennai super kings,Shreyas Gopal,shreyas gopal,Shreyas Gopal
chennai super kings,Aman Khan,aman khan,Aman Khan
chennai super kings,Prashant Veer,prashant veer,Prashant Veer
chennai super kings,Rahul Chahar,rahul chahar,Rahul Chahar
chennai super kings,Khaleel Ahmed,khaleel ahmed,Khaleel Ahmed
chennai super kings,Gurjapneet Singh,gurjapneet singh,Gurjapneet Singh
chennai super kings,Anshul Kamboj,anshul kamboj,Anshul Kamboj
chennai super kings,Mukesh Choudhary,mukesh choudhary,Mukesh Choudhary
chennai super kings,Jamie Overton,jamie overton,Jamie Overton
chennai super kings,Dewald Brevis,dewald brevis,Dewald Brevis
chennai super kings,Matt Short,matt short,Matt Short
chennai super kings,Spencer Johnson,spencer johnson,Spencer Johnson
chennai super kings,Zak Foulkes,zak foulkes,Zak Foulkes
chennai super kings,Matt Henry,matt henry,Matt Henry
chennai super kings,Noor Ahmad,noor ahmad,Noor Ahmad
chennai super kings,Akeal Hosein,akeal hosein,Akeal Hosein
delhi capitals,Axar Patel,axar patel,Axar Patel
delhi capitals,Prithvi Shaw,prithvi shaw,Prithvi Shaw
delhi capitals,Karun Nair,karun nair,Karun Nair
delhi capitals,Nitish Rana,nitish rana,Nitish Rana
delhi capitals,Ashutosh Sharma,ashutosh sharma,Ashutosh Sharma
delhi capitals,Sameer Rizvi,sameer rizvi,Sameer Rizvi
delhi capitals,Sahil Parakh,sahil parakh,Sahil Parakh
delhi capitals,KL Rahul,kl rahul,KL Rahul
delhi capitals,Abishek Porel,abishek porel,Abishek Porel
delhi capitals,Vipraj Nigam,vipraj nigam,Vipraj Nigam
delhi capitals,Auqib Nabi,auqib nabi,Auqib Nabi
delhi capitals,Madhav Tiwari,madhav tiwari,Madhav Tiwari
delhi capitals,T Vijay,t vijay,T Vijay
delhi capitals,Ajay Mandal,ajay mandal,Ajay Mandal
delhi capitals,Kuldeep Yadav,kuldeep yadav,Kuldeep Yadav
delhi capitals,Mukesh Kumar,mukesh kumar,Mukesh Kumar
delhi capitals,T Natarajan,t natarajan,T Natarajan
delhi capitals,Mitchell Starc,mitchell starc,Mitchell Starc
delhi capitals,Pathum Nissanka,pathum nissanka,Pathum Nissanka
delhi capitals,Dushmantha Chameera,dushmantha chameera,Dushmantha Chameera
delhi capitals,Lungi Ngidi,lungi ngidi,Lungi Ngidi
delhi capitals,David Miller,david miller,David Miller
delhi capitals,Tristan Stubbs,tristan stubbs,Tristan Stubbs
delhi capitals,Kyle Jamieson,kyle jamieson,Kyle Jamieson
gujarat titans,Shubman Gill,shubman gill,Shubman Gill
gujarat titans,Sai Sudharsan,sai sudharsan,Sai Sudharsan
gujarat titans,Shahrukh Khan,shahrukh khan,Shahrukh Khan
gujarat titans,Anuj Rawat,anuj rawat,Anuj Rawat
gujarat titans,Kumar Kushagra,kumar kushagra,Kumar Kushagra
gujarat titans,Washington Sundar,washington sundar,Washington Sundar
gujarat titans,Manav Suthar,manav suthar,Manav Suthar
gujarat titans,Rahul Tewatia,rahul tewatia,Rahul Tewatia
gujarat titans,Nishant Sindhu,nishant sindhu,Nishant Sindhu
gujarat titans,Jayant Yadav,jayant yadav,Jayant Yadav
gujarat titans,Arshad Khan,arshad khan,Arshad Khan
gujarat titans,Sai Kishore,sai kishore,Sai Kishore
gujarat titans,Mohammed Siraj,mohammed siraj,Mohammed Siraj
gujarat titans,Prasidh Krishna,prasidh krishna,Prasidh Krishna
gujarat titans,Gurnoor Brar,gurnoor brar,Gurnoor Brar
gujarat titans,Ishant Sharma,ishant sharma,Ishant Sharma
gujarat titans,Ashok Sharma,ashok sharma,Ashok Sharma
gujarat titans,Kulwant Khejroliya,kulwant khejroliya,Kulwant Khejroliya
gujarat titans,Jos Buttler,jos buttler,Jos Buttler
gujarat titans,Tom Banton,tom banton,Tom Banton
gujarat titans,Luke Wood,luke wood,Luke Wood
gujarat titans,Glenn Phillips,glenn phillips,Glenn Phillips
gujarat titans,Jason Holder,jason holder,Jason Holder
gujarat titans,Rashid Khan,rashid khan,Rashid Khan
gujarat titans,Kagiso Rabada,kagiso rabada,Kagiso Rabada
kolkata knight riders,Ajinkya Rahane,ajinkya rahane,Ajinkya Rahane
kolkata knight riders,Angkrish Raghuvanshi,angkrish raghuvanshi,Angkrish Raghuvanshi
kolkata knight riders,Manish Pandey,manish pandey,Manish Pandey
kolkata knight riders,Rahul Tripathi,rahul tripathi,Rahul Tripathi
kolkata knight riders,Rinku Singh,rinku singh,Rinku Singh
kolkata knight riders,Tejasvi Dahiya,tejasvi dahiya,Tejasvi Dahiya
kolkata knight riders,AS Roy,as roy,Anukul Roy
kolkata knight riders,Daksh Kamra,daksh kamra,Daksh Kamra
kolkata knight riders,Ramandeep Singh,ramandeep singh,Ramandeep Singh
kolkata knight riders,Sarthak Ranjan,sarthak ranjan,Sarthak Ranjan
kolkata knight riders,Prashant Solanki,prashant solanki,Prashant Solanki
kolkata knight riders,CV Varun,cv varun,Varun Chakravarthy
kolkata knight riders,Kartik Tyagi,kartik tyagi,Kartik Tyagi
kolkata knight riders,Umran Malik,umran malik,Umran Malik
kolkata knight riders,Vaibhav Arora,vaibhav arora,Vaibhav Arora
kolkata knight riders,Saurabh Dubey,saurabh dubey,Saurabh Dubey
kolkata knight riders,Navdeep Saini,navdeep saini,Navdeep Saini
kolkata knight riders,Cameron Green,cameron green,Cameron Green
kolkata knight riders,Rovman Powell,rovman powell,Rovman Powell
kolkata knight riders,Sunil Narine,sunil narine,Sunil Narine
