match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m10-srh-lsg,1,0,1,travis-head,,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,0,2,travis-head,,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,0,3,travis-head,,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,0,4,travis-head,,mohammed-shami,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,0,5,abhishek-sharma,travis-head,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,0,6,abhishek-sharma,travis-head,mohammed-shami,SRH,LSG,0,0,,True,caught,abhishek-sharma,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,1,1,travis-head,,digvesh-singh-rathi,SRH,LSG,4,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,1,2,travis-head,,digvesh-singh-rathi,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,1,3,ishan-kishan,travis-head,digvesh-singh-rathi,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,1,4,ishan-kishan,travis-head,digvesh-singh-rathi,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,1,5,ishan-kishan,travis-head,digvesh-singh-rathi,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,1,6,travis-head,ishan-kishan,digvesh-singh-rathi,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,2,1,travis-head,ishan-kishan,mohammed-shami,SRH,LSG,0,0,,True,caught,travis-head,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,2,2,liam-livingstone,ishan-kishan,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,2,3,liam-livingstone,ishan-kishan,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,2,3,liam-livingstone,ishan-kishan,mohammed-shami,SRH,LSG,0,1,wide,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,2,4,liam-livingstone,ishan-kishan,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,2,5,liam-livingstone,ishan-kishan,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,2,6,liam-livingstone,ishan-kishan,mohammed-shami,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,3,1,liam-livingstone,ishan-kishan,prince-yadav,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,3,2,liam-livingstone,ishan-kishan,prince-yadav,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,3,3,ishan-kishan,liam-livingstone,prince-yadav,SRH,LSG,0,0,,True,bowled,ishan-kishan,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,3,4,heinrich-klaasen,liam-livingstone,prince-yadav,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,3,5,heinrich-klaasen,liam-livingstone,prince-yadav,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,3,6,heinrich-klaasen,liam-livingstone,prince-yadav,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,4,1,liam-livingstone,heinrich-klaasen,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,4,2,liam-livingstone,heinrich-klaasen,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,4,3,liam-livingstone,heinrich-klaasen,mohammed-shami,SRH,LSG,2,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,4,4,liam-livingstone,heinrich-klaasen,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,4,5,liam-livingstone,heinrich-klaasen,mohammed-shami,SRH,LSG,2,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,4,6,liam-livingstone,heinrich-klaasen,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,5,1,heinrich-klaasen,liam-livingstone,manimaran-siddharth,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,5,2,heinrich-klaasen,liam-livingstone,manimaran-siddharth,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,5,3,heinrich-klaasen,liam-livingstone,manimaran-siddharth,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,5,4,liam-livingstone,heinrich-klaasen,manimaran-siddharth,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,5,5,liam-livingstone,heinrich-klaasen,manimaran-siddharth,SRH,LSG,6,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,5,6,liam-livingstone,heinrich-klaasen,manimaran-siddharth,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,6,1,heinrich-klaasen,liam-livingstone,avesh-khan,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,6,2,heinrich-klaasen,liam-livingstone,avesh-khan,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,6,3,liam-livingstone,heinrich-klaasen,avesh-khan,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,6,4,heinrich-klaasen,liam-livingstone,avesh-khan,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,6,5,liam-livingstone,heinrich-klaasen,avesh-khan,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,6,6,liam-livingstone,heinrich-klaasen,avesh-khan,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,7,1,liam-livingstone,heinrich-klaasen,digvesh-singh-rathi,SRH,LSG,0,0,,True,caught,liam-livingstone,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,7,2,nitish-reddy,heinrich-klaasen,digvesh-singh-rathi,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,7,3,nitish-reddy,heinrich-klaasen,digvesh-singh-rathi,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,7,4,heinrich-klaasen,nitish-reddy,digvesh-singh-rathi,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,7,5,nitish-reddy,heinrich-klaasen,digvesh-singh-rathi,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,7,6,nitish-reddy,heinrich-klaasen,digvesh-singh-rathi,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,8,1,nitish-reddy,heinrich-klaasen,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,8,2,nitish-reddy,heinrich-klaasen,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,8,3,nitish-reddy,heinrich-klaasen,mohammed-shami,SRH,LSG,0,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,8,4,nitish-reddy,heinrich-klaasen,mohammed-shami,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
ipl2026-m10-srh-lsg,1,8,5,heinrich-klaasen,nitish-reddy,mohammed-shami,SRH,LSG,1,0,,False,,,,Hyderabad,2026-04-06,IPL
