match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m14-dc-gt,1,0,1,sai-sudharsan,,mukesh-kumar,GT,DC,4,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,0,2,sai-sudharsan,,mukesh-kumar,GT,DC,1,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,0,3,shubman-gill,sai-sudharsan,mukesh-kumar,GT,DC,4,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,0,4,shubman-gill,sai-sudharsan,mukesh-kumar,GT,DC,1,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,0,5,sai-sudharsan,shubman-gill,mukesh-kumar,GT,DC,1,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,0,6,shubman-gill,sai-sudharsan,mukesh-kumar,GT,DC,0,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,1,1,sai-sudharsan,shubman-gill,lungi-ngidi,GT,DC,4,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,1,2,sai-sudharsan,shubman-gill,lungi-ngidi,GT,DC,1,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,1,3,shubman-gill,sai-sudharsan,lungi-ngidi,GT,DC,0,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,1,4,shubman-gill,sai-sudharsan,lungi-ngidi,GT,DC,0,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,1,5,shubman-gill,sai-sudharsan,lungi-ngidi,GT,DC,1,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,1,6,sai-sudharsan,shubman-gill,lungi-ngidi,GT,DC,1,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,2,1,sai-sudharsan,shubman-gill,mukesh-kumar,GT,DC,0,0,,True,bowled,sai-sudharsan,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,2,1,sai-sudharsan,shubman-gill,mukesh-kumar,GT,DC,0,1,wide,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,2,2,jos-buttler,sai-sudharsan,mukesh-kumar,GT,DC,0,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,2,3,jos-buttler,sai-sudharsan,mukesh-kumar,GT,DC,0,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,2,4,jos-buttler,sai-sudharsan,mukesh-kumar,GT,DC,0,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,2,5,jos-buttler,sai-sudharsan,mukesh-kumar,GT,DC,6,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,2,6,jos-buttler,sai-sudharsan,mukesh-kumar,GT,DC,1,0,,False,,,,Delhi,2026-04-10,IPL
ipl2026-m14-dc-gt,1,2,6,jos-buttler,sai-sudharsan,mukesh-kumar,GT,DC,0,1,wide,False,,,,Delhi,2026-04-10,IPL
