match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m15-kkr-lsg,1,0,1,ajinkya-rahane,,mohammed-shami,KKR,LSG,1,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,0,2,finn-allen,ajinkya-rahane,mohammed-shami,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,0,3,finn-allen,ajinkya-rahane,mohammed-shami,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,0,4,finn-allen,ajinkya-rahane,mohammed-shami,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,0,5,finn-allen,ajinkya-rahane,mohammed-shami,KKR,LSG,1,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,0,6,ajinkya-rahane,finn-allen,mohammed-shami,KKR,LSG,4,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,1,1,finn-allen,ajinkya-rahane,prince-yadav,KKR,LSG,4,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,1,1,finn-allen,ajinkya-rahane,prince-yadav,KKR,LSG,0,1,wide,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,1,2,finn-allen,ajinkya-rahane,prince-yadav,KKR,LSG,4,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,1,3,finn-allen,ajinkya-rahane,prince-yadav,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,1,4,finn-allen,ajinkya-rahane,prince-yadav,KKR,LSG,0,0,,True,caught,finn-allen,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,1,5,angkrish-raghuvanshi,ajinkya-rahane,prince-yadav,KKR,LSG,1,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,1,6,ajinkya-rahane,angkrish-raghuvanshi,prince-yadav,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,2,1,angkrish-raghuvanshi,ajinkya-rahane,mohammed-shami,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,2,2,angkrish-raghuvanshi,ajinkya-rahane,mohammed-shami,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,2,3,angkrish-raghuvanshi,ajinkya-rahane,mohammed-shami,KKR,LSG,0,1,wide,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,2,4,angkrish-raghuvanshi,ajinkya-rahane,mohammed-shami,KKR,LSG,4,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,2,5,angkrish-raghuvanshi,ajinkya-rahane,mohammed-shami,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,2,6,angkrish-raghuvanshi,ajinkya-rahane,mohammed-shami,KKR,LSG,1,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,3,1,angkrish-raghuvanshi,ajinkya-rahane,manimaran-siddharth,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,3,2,angkrish-raghuvanshi,ajinkya-rahane,manimaran-siddharth,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,3,3,ajinkya-rahane,angkrish-raghuvanshi,manimaran-siddharth,KKR,LSG,6,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,3,4,ajinkya-rahane,angkrish-raghuvanshi,manimaran-siddharth,KKR,LSG,1,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,3,5,angkrish-raghuvanshi,ajinkya-rahane,manimaran-siddharth,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,3,6,angkrish-raghuvanshi,ajinkya-rahane,manimaran-siddharth,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,4,1,ajinkya-rahane,angkrish-raghuvanshi,digvesh-singh-rathi,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,4,2,ajinkya-rahane,angkrish-raghuvanshi,digvesh-singh-rathi,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,4,3,ajinkya-rahane,angkrish-raghuvanshi,digvesh-singh-rathi,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,4,4,ajinkya-rahane,angkrish-raghuvanshi,digvesh-singh-rathi,KKR,LSG,4,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,4,5,ajinkya-rahane,angkrish-raghuvanshi,digvesh-singh-rathi,KKR,LSG,4,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,4,6,ajinkya-rahane,angkrish-raghuvanshi,digvesh-singh-rathi,KKR,LSG,2,0,,False,,,,Kolkata,2026-04-09,IPL
ipl2026-m15-kkr-lsg,1,5,1,angkrish-raghuvanshi,ajinkya-rahane,avesh-khan,KKR,LSG,0,0,,False,,,,Kolkata,2026-04-09,IPL
