match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m18-csk-dc,1,0,1,sanju-samson,,auqib-nabi,CSK,DC,3,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,0,2,ruturaj-gaikwad,sanju-samson,auqib-nabi,CSK,DC,0,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,0,3,ruturaj-gaikwad,sanju-samson,auqib-nabi,CSK,DC,1,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,0,4,sanju-samson,ruturaj-gaikwad,auqib-nabi,CSK,DC,4,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,0,5,sanju-samson,ruturaj-gaikwad,auqib-nabi,CSK,DC,0,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,0,6,sanju-samson,ruturaj-gaikwad,auqib-nabi,CSK,DC,1,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,0,6,sanju-samson,ruturaj-gaikwad,auqib-nabi,CSK,DC,0,1,wide,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,1,1,sanju-samson,ruturaj-gaikwad,mukesh-kumar,CSK,DC,1,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,1,2,ruturaj-gaikwad,sanju-samson,mukesh-kumar,CSK,DC,0,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,1,3,ruturaj-gaikwad,sanju-samson,mukesh-kumar,CSK,DC,0,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,1,4,ruturaj-gaikwad,sanju-samson,mukesh-kumar,CSK,DC,1,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,1,5,sanju-samson,ruturaj-gaikwad,mukesh-kumar,CSK,DC,4,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,1,6,sanju-samson,ruturaj-gaikwad,mukesh-kumar,CSK,DC,4,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,2,1,ruturaj-gaikwad,sanju-samson,auqib-nabi,CSK,DC,1,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,2,2,sanju-samson,ruturaj-gaikwad,auqib-nabi,CSK,DC,4,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,2,3,sanju-samson,ruturaj-gaikwad,auqib-nabi,CSK,DC,1,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,2,4,ruturaj-gaikwad,sanju-samson,auqib-nabi,CSK,DC,0,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,2,5,ruturaj-gaikwad,sanju-samson,auqib-nabi,CSK,DC,0,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,2,6,ruturaj-gaikwad,sanju-samson,auqib-nabi,CSK,DC,1,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,3,1,ruturaj-gaikwad,sanju-samson,axar-patel,CSK,DC,4,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,3,2,ruturaj-gaikwad,sanju-samson,axar-patel,CSK,DC,0,0,,False,,,,Chennai,2026-04-11,IPL
ipl2026-m18-csk-dc,1,3,3,ruturaj-gaikwad,sanju-samson,axar-patel,CSK,DC,1,0,,False,,,,Chennai,2026-04-11,IPL
