match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m19-lsg-gt,1,0,1,aiden-markram,,mohammed-siraj,LSG,GT,0,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,0,2,aiden-markram,,mohammed-siraj,LSG,GT,0,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,0,3,aiden-markram,,mohammed-siraj,LSG,GT,2,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,0,4,aiden-markram,,mohammed-siraj,LSG,GT,0,1,legbye,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,0,5,mitchell-marsh,aiden-markram,mohammed-siraj,LSG,GT,1,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,0,6,aiden-markram,mitchell-marsh,mohammed-siraj,LSG,GT,0,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,1,1,mitchell-marsh,aiden-markram,kagiso-rabada,LSG,GT,6,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,1,2,mitchell-marsh,aiden-markram,kagiso-rabada,LSG,GT,4,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,1,3,mitchell-marsh,aiden-markram,kagiso-rabada,LSG,GT,0,0,,True,caught,mitchell-marsh,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,1,4,rishabh-pant,aiden-markram,kagiso-rabada,LSG,GT,4,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,1,5,rishabh-pant,aiden-markram,kagiso-rabada,LSG,GT,1,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,1,6,aiden-markram,rishabh-pant,kagiso-rabada,LSG,GT,4,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,2,1,rishabh-pant,aiden-markram,mohammed-siraj,LSG,GT,4,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,2,2,rishabh-pant,aiden-markram,mohammed-siraj,LSG,GT,0,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,2,3,rishabh-pant,aiden-markram,mohammed-siraj,LSG,GT,1,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,2,4,aiden-markram,rishabh-pant,mohammed-siraj,LSG,GT,1,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,2,5,rishabh-pant,aiden-markram,mohammed-siraj,LSG,GT,0,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,2,6,rishabh-pant,aiden-markram,mohammed-siraj,LSG,GT,1,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,3,1,rishabh-pant,aiden-markram,kagiso-rabada,LSG,GT,0,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,3,2,rishabh-pant,aiden-markram,kagiso-rabada,LSG,GT,6,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,3,3,rishabh-pant,aiden-markram,kagiso-rabada,LSG,GT,1,0,,False,,,,Lucknow,2026-04-11,IPL
ipl2026-m19-lsg-gt,1,3,4,aiden-markram,rishabh-pant,kagiso-rabada,LSG,GT,4,0,,False,,,,Lucknow,2026-04-11,IPL
