match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m20-mi-rcb,1,0,1,phil-salt,,trent-boult,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,0,2,virat-kohli,phil-salt,trent-boult,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,0,3,virat-kohli,phil-salt,trent-boult,RCB,MI,6,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,0,4,virat-kohli,phil-salt,trent-boult,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,0,5,phil-salt,virat-kohli,trent-boult,RCB,MI,4,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,0,6,phil-salt,virat-kohli,trent-boult,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,1,1,phil-salt,virat-kohli,hardik-pandya,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,1,2,phil-salt,virat-kohli,hardik-pandya,RCB,MI,2,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,1,3,phil-salt,virat-kohli,hardik-pandya,RCB,MI,4,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,1,4,phil-salt,virat-kohli,hardik-pandya,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,1,4,phil-salt,virat-kohli,hardik-pandya,RCB,MI,0,1,wide,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,1,5,virat-kohli,phil-salt,hardik-pandya,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,1,6,virat-kohli,phil-salt,hardik-pandya,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,2,1,virat-kohli,phil-salt,trent-boult,RCB,MI,4,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,2,2,virat-kohli,phil-salt,trent-boult,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,2,3,phil-salt,virat-kohli,trent-boult,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,2,4,phil-salt,virat-kohli,trent-boult,RCB,MI,6,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,2,5,phil-salt,virat-kohli,trent-boult,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,2,6,phil-salt,virat-kohli,trent-boult,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,3,1,virat-kohli,phil-salt,jasprit-bumrah,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,3,2,virat-kohli,phil-salt,jasprit-bumrah,RCB,MI,4,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,3,3,virat-kohli,phil-salt,jasprit-bumrah,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,3,4,phil-salt,virat-kohli,jasprit-bumrah,RCB,MI,2,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,3,5,phil-salt,virat-kohli,jasprit-bumrah,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,3,6,virat-kohli,phil-salt,jasprit-bumrah,RCB,MI,2,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,4,1,phil-salt,virat-kohli,mitchell-santner,RCB,MI,6,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,4,2,phil-salt,virat-kohli,mitchell-santner,RCB,MI,6,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,4,3,phil-salt,virat-kohli,mitchell-santner,RCB,MI,6,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,4,4,phil-salt,virat-kohli,mitchell-santner,RCB,MI,4,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,4,5,phil-salt,virat-kohli,mitchell-santner,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,4,6,phil-salt,virat-kohli,mitchell-santner,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,5,1,virat-kohli,phil-salt,jasprit-bumrah,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,5,2,virat-kohli,phil-salt,jasprit-bumrah,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,5,3,phil-salt,virat-kohli,jasprit-bumrah,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,5,4,phil-salt,virat-kohli,jasprit-bumrah,RCB,MI,2,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,5,5,phil-salt,virat-kohli,jasprit-bumrah,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,5,5,phil-salt,virat-kohli,jasprit-bumrah,RCB,MI,0,1,wide,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,5,6,virat-kohli,phil-salt,jasprit-bumrah,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,6,1,virat-kohli,phil-salt,mitchell-santner,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,6,2,virat-kohli,phil-salt,mitchell-santner,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,6,3,phil-salt,virat-kohli,mitchell-santner,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,6,4,virat-kohli,phil-salt,mitchell-santner,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,6,5,virat-kohli,phil-salt,mitchell-santner,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,6,6,phil-salt,virat-kohli,mitchell-santner,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,7,1,phil-salt,virat-kohli,mayank-markande,RCB,MI,4,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,7,2,phil-salt,virat-kohli,mayank-markande,RCB,MI,4,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,7,3,phil-salt,virat-kohli,mayank-markande,RCB,MI,4,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,7,4,phil-salt,virat-kohli,mayank-markande,RCB,MI,6,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,7,5,phil-salt,virat-kohli,mayank-markande,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,7,6,virat-kohli,phil-salt,mayank-markande,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,8,1,virat-kohli,phil-salt,mitchell-santner,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,8,2,virat-kohli,phil-salt,mitchell-santner,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,8,3,phil-salt,virat-kohli,mitchell-santner,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,8,4,virat-kohli,phil-salt,mitchell-santner,RCB,MI,4,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,8,5,virat-kohli,phil-salt,mitchell-santner,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,8,6,virat-kohli,phil-salt,mitchell-santner,RCB,MI,4,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,9,1,phil-salt,virat-kohli,hardik-pandya,RCB,MI,2,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,9,2,phil-salt,virat-kohli,hardik-pandya,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,9,3,phil-salt,virat-kohli,hardik-pandya,RCB,MI,6,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,9,4,phil-salt,virat-kohli,hardik-pandya,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,9,5,virat-kohli,phil-salt,hardik-pandya,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,9,6,phil-salt,virat-kohli,hardik-pandya,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,10,1,virat-kohli,phil-salt,shardul-thakur,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,10,1,virat-kohli,phil-salt,shardul-thakur,RCB,MI,0,1,wide,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,10,2,virat-kohli,phil-salt,shardul-thakur,RCB,MI,0,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,10,2,virat-kohli,phil-salt,shardul-thakur,RCB,MI,0,1,wide,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,10,3,virat-kohli,phil-salt,shardul-thakur,RCB,MI,2,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,10,4,virat-kohli,phil-salt,shardul-thakur,RCB,MI,1,0,,False,,,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,10,5,phil-salt,virat-kohli,shardul-thakur,RCB,MI,0,0,,True,caught,phil-salt,,Mumbai,2026-04-11,IPL
ipl2026-m20-mi-rcb,1,10,6,rajat-patidar,virat-kohli,shardul-thakur,RCB,MI,4,0,,False,,,,Mumbai,2026-04-11,IPL
