match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m21-srh-rr,1,0,1,abhishek-sharma,,jofra-archer,SRH,RR,0,0,,True,caught,abhishek-sharma,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,0,2,ishan-kishan,,jofra-archer,SRH,RR,0,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,0,3,ishan-kishan,,jofra-archer,SRH,RR,0,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,0,4,ishan-kishan,,jofra-archer,SRH,RR,2,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,0,5,ishan-kishan,,jofra-archer,SRH,RR,0,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,0,6,ishan-kishan,,jofra-archer,SRH,RR,0,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,1,1,travis-head,ishan-kishan,nandre-burger,SRH,RR,0,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,1,2,travis-head,ishan-kishan,nandre-burger,SRH,RR,0,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,1,3,travis-head,ishan-kishan,nandre-burger,SRH,RR,0,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,1,4,travis-head,ishan-kishan,nandre-burger,SRH,RR,4,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,1,5,travis-head,ishan-kishan,nandre-burger,SRH,RR,0,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,1,6,travis-head,ishan-kishan,nandre-burger,SRH,RR,0,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,2,1,ishan-kishan,travis-head,jofra-archer,SRH,RR,0,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,2,2,ishan-kishan,travis-head,jofra-archer,SRH,RR,4,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,2,3,ishan-kishan,travis-head,jofra-archer,SRH,RR,0,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,2,4,ishan-kishan,travis-head,jofra-archer,SRH,RR,6,0,,False,,,,Hyderabad,2026-04-13,IPL
ipl2026-m21-srh-rr,1,2,5,ishan-kishan,travis-head,jofra-archer,SRH,RR,0,0,,False,,,,Hyderabad,2026-04-13,IPL
