match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m23-lsg-rcb,1,0,1,mitchell-marsh,,bhuvneshwar-kumar,LSG,RCB,0,0,,False,,,,Bengaluru,2026-04-15,IPL
ipl2026-m23-lsg-rcb,1,0,2,mitchell-marsh,,bhuvneshwar-kumar,LSG,RCB,4,0,,False,,,,Bengaluru,2026-04-15,IPL
ipl2026-m23-lsg-rcb,1,0,3,mitchell-marsh,,bhuvneshwar-kumar,LSG,RCB,2,0,,False,,,,Bengaluru,2026-04-15,IPL
ipl2026-m23-lsg-rcb,1,0,4,mitchell-marsh,,bhuvneshwar-kumar,LSG,RCB,1,0,,False,,,,Bengaluru,2026-04-15,IPL
ipl2026-m23-lsg-rcb,1,0,5,aiden-markram,mitchell-marsh,bhuvneshwar-kumar,LSG,RCB,1,0,,False,,,,Bengaluru,2026-04-15,IPL
ipl2026-m23-lsg-rcb,1,0,6,mitchell-marsh,aiden-markram,bhuvneshwar-kumar,LSG,RCB,1,0,,False,,,,Bengaluru,2026-04-15,IPL
ipl2026-m23-lsg-rcb,1,1,1,mitchell-marsh,aiden-markram,josh-hazlewood,LSG,RCB,0,0,,False,,,,Bengaluru,2026-04-15,IPL
ipl2026-m23-lsg-rcb,1,1,2,mitchell-marsh,aiden-markram,josh-hazlewood,LSG,RCB,1,0,,False,,,,Bengaluru,2026-04-15,IPL
ipl2026-m23-lsg-rcb,1,1,3,aiden-markram,mitchell-marsh,josh-hazlewood,LSG,RCB,1,0,,False,,,,Bengaluru,2026-04-15,IPL
ipl2026-m23-lsg-rcb,1,1,4,mitchell-marsh,aiden-markram,josh-hazlewood,LSG,RCB,1,0,,False,,,,Bengaluru,2026-04-15,IPL
ipl2026-m23-lsg-rcb,1,1,5,aiden-markram,mitchell-marsh,josh-hazlewood,LSG,RCB,1,0,,False,,,,Bengaluru,2026-04-15,IPL
