match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m24-mi-pbks,1,0,1,ryan-rickelton,,arshdeep-singh,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,0,2,ryan-rickelton,,arshdeep-singh,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,0,3,ryan-rickelton,,arshdeep-singh,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,0,4,ryan-rickelton,,arshdeep-singh,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,0,5,ryan-rickelton,,arshdeep-singh,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,0,6,ryan-rickelton,,arshdeep-singh,MI,PBKS,1,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,1,1,ryan-rickelton,,marco-jansen,MI,PBKS,1,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,1,2,quinton-de-kock,ryan-rickelton,marco-jansen,MI,PBKS,6,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,1,3,quinton-de-kock,ryan-rickelton,marco-jansen,MI,PBKS,0,4,legbye,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,1,4,quinton-de-kock,ryan-rickelton,marco-jansen,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,1,5,quinton-de-kock,ryan-rickelton,marco-jansen,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,1,6,quinton-de-kock,ryan-rickelton,marco-jansen,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,2,1,ryan-rickelton,quinton-de-kock,arshdeep-singh,MI,PBKS,0,0,,True,caught,ryan-rickelton,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,2,2,suryakumar-yadav,quinton-de-kock,arshdeep-singh,MI,PBKS,0,0,,True,caught,suryakumar-yadav,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,2,3,naman-dhir,quinton-de-kock,arshdeep-singh,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,2,4,naman-dhir,quinton-de-kock,arshdeep-singh,MI,PBKS,2,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,2,5,naman-dhir,quinton-de-kock,arshdeep-singh,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,2,6,naman-dhir,quinton-de-kock,arshdeep-singh,MI,PBKS,1,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,3,1,naman-dhir,quinton-de-kock,xavier-bartlett,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,3,2,naman-dhir,quinton-de-kock,xavier-bartlett,MI,PBKS,4,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,3,3,naman-dhir,quinton-de-kock,xavier-bartlett,MI,PBKS,1,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,3,4,quinton-de-kock,naman-dhir,xavier-bartlett,MI,PBKS,2,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,3,5,quinton-de-kock,naman-dhir,xavier-bartlett,MI,PBKS,1,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,3,6,naman-dhir,quinton-de-kock,xavier-bartlett,MI,PBKS,2,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,4,1,quinton-de-kock,naman-dhir,marco-jansen,MI,PBKS,1,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,4,2,naman-dhir,quinton-de-kock,marco-jansen,MI,PBKS,1,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,4,3,quinton-de-kock,naman-dhir,marco-jansen,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,4,4,quinton-de-kock,naman-dhir,marco-jansen,MI,PBKS,4,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,4,5,quinton-de-kock,naman-dhir,marco-jansen,MI,PBKS,1,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,4,6,naman-dhir,quinton-de-kock,marco-jansen,MI,PBKS,1,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,5,1,naman-dhir,quinton-de-kock,vijaykumar-vyshak,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,5,2,naman-dhir,quinton-de-kock,vijaykumar-vyshak,MI,PBKS,4,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,5,3,naman-dhir,quinton-de-kock,vijaykumar-vyshak,MI,PBKS,0,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,5,4,naman-dhir,quinton-de-kock,vijaykumar-vyshak,MI,PBKS,4,0,,False,,,,Mumbai,2026-04-16,IPL
ipl2026-m24-mi-pbks,1,5,5,naman-dhir,quinton-de-kock,vijaykumar-vyshak,MI,PBKS,6,0,,False,,,,Mumbai,2026-04-16,IPL
