match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m25-gt-kkr,1,0,1,tim-seifert,,mohammed-siraj,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,0,2,tim-seifert,,mohammed-siraj,KKR,GT,4,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,0,3,tim-seifert,,mohammed-siraj,KKR,GT,1,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,0,4,ajinkya-rahane,tim-seifert,mohammed-siraj,KKR,GT,0,0,,True,caught,ajinkya-rahane,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,0,5,angkrish-raghuvanshi,tim-seifert,mohammed-siraj,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,0,6,angkrish-raghuvanshi,tim-seifert,mohammed-siraj,KKR,GT,4,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,1,1,tim-seifert,angkrish-raghuvanshi,kagiso-rabada,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,1,2,tim-seifert,angkrish-raghuvanshi,kagiso-rabada,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,1,3,tim-seifert,angkrish-raghuvanshi,kagiso-rabada,KKR,GT,6,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,1,4,tim-seifert,angkrish-raghuvanshi,kagiso-rabada,KKR,GT,1,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,1,5,angkrish-raghuvanshi,tim-seifert,kagiso-rabada,KKR,GT,4,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,1,6,angkrish-raghuvanshi,tim-seifert,kagiso-rabada,KKR,GT,0,0,,True,caught,angkrish-raghuvanshi,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,1,6,angkrish-raghuvanshi,tim-seifert,kagiso-rabada,KKR,GT,0,1,wide,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,2,1,tim-seifert,angkrish-raghuvanshi,mohammed-siraj,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,2,2,tim-seifert,angkrish-raghuvanshi,mohammed-siraj,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,2,3,tim-seifert,angkrish-raghuvanshi,mohammed-siraj,KKR,GT,1,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,2,4,cameron-green,angkrish-raghuvanshi,mohammed-siraj,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,2,5,cameron-green,angkrish-raghuvanshi,mohammed-siraj,KKR,GT,2,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,2,6,cameron-green,angkrish-raghuvanshi,mohammed-siraj,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,3,1,tim-seifert,cameron-green,kagiso-rabada,KKR,GT,4,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,3,2,tim-seifert,cameron-green,kagiso-rabada,KKR,GT,1,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,3,3,cameron-green,tim-seifert,kagiso-rabada,KKR,GT,0,1,legbye,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,3,4,tim-seifert,cameron-green,kagiso-rabada,KKR,GT,1,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,3,5,cameron-green,tim-seifert,kagiso-rabada,KKR,GT,1,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,3,6,tim-seifert,cameron-green,kagiso-rabada,KKR,GT,0,0,,True,caught,tim-seifert,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,4,1,cameron-green,,mohammed-siraj,KKR,GT,1,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,4,2,rovman-powell,cameron-green,mohammed-siraj,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,4,3,rovman-powell,cameron-green,mohammed-siraj,KKR,GT,1,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,4,4,cameron-green,rovman-powell,mohammed-siraj,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,4,5,cameron-green,rovman-powell,mohammed-siraj,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,4,6,cameron-green,rovman-powell,mohammed-siraj,KKR,GT,2,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,5,1,rovman-powell,cameron-green,kagiso-rabada,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,5,2,rovman-powell,cameron-green,kagiso-rabada,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,5,3,rovman-powell,cameron-green,kagiso-rabada,KKR,GT,1,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,5,4,cameron-green,rovman-powell,kagiso-rabada,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,5,5,cameron-green,rovman-powell,kagiso-rabada,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,5,6,cameron-green,rovman-powell,kagiso-rabada,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,6,1,rovman-powell,cameron-green,prasidh-krishna,KKR,GT,1,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,6,2,cameron-green,rovman-powell,prasidh-krishna,KKR,GT,1,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,6,2,cameron-green,rovman-powell,prasidh-krishna,KKR,GT,0,1,wide,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,6,3,rovman-powell,cameron-green,prasidh-krishna,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,6,4,rovman-powell,cameron-green,prasidh-krishna,KKR,GT,0,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,6,5,rovman-powell,cameron-green,prasidh-krishna,KKR,GT,6,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,6,6,rovman-powell,cameron-green,prasidh-krishna,KKR,GT,2,0,,False,,,,Ahmedabad,2026-04-17,IPL
ipl2026-m25-gt-kkr,1,7,1,cameron-green,rovman-powell,ashok-sharma,KKR,GT,1,0,,False,,,,Ahmedabad,2026-04-17,IPL
