match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m29-pbks-lsg,1,0,6,cooper-connolly,,mohammed-shami,PBKS,LSG,4,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,1,1,priyansh-arya,cooper-connolly,mohsin-khan,PBKS,LSG,6,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,1,2,priyansh-arya,cooper-connolly,mohsin-khan,PBKS,LSG,1,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,1,3,cooper-connolly,priyansh-arya,mohsin-khan,PBKS,LSG,0,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,1,4,cooper-connolly,priyansh-arya,mohsin-khan,PBKS,LSG,0,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,1,5,cooper-connolly,priyansh-arya,mohsin-khan,PBKS,LSG,0,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,1,6,cooper-connolly,priyansh-arya,mohsin-khan,PBKS,LSG,1,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,2,1,cooper-connolly,priyansh-arya,mohammed-shami,PBKS,LSG,4,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,2,2,cooper-connolly,priyansh-arya,mohammed-shami,PBKS,LSG,0,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,2,3,cooper-connolly,priyansh-arya,mohammed-shami,PBKS,LSG,1,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,2,4,priyansh-arya,cooper-connolly,mohammed-shami,PBKS,LSG,4,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,2,5,priyansh-arya,cooper-connolly,mohammed-shami,PBKS,LSG,1,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,2,6,cooper-connolly,priyansh-arya,mohammed-shami,PBKS,LSG,0,1,legbye,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,3,1,cooper-connolly,priyansh-arya,mohsin-khan,PBKS,LSG,0,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,3,2,cooper-connolly,priyansh-arya,mohsin-khan,PBKS,LSG,4,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,3,3,cooper-connolly,priyansh-arya,mohsin-khan,PBKS,LSG,0,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,3,4,cooper-connolly,priyansh-arya,mohsin-khan,PBKS,LSG,1,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,3,5,priyansh-arya,cooper-connolly,mohsin-khan,PBKS,LSG,2,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,3,6,priyansh-arya,cooper-connolly,mohsin-khan,PBKS,LSG,6,0,,False,,,,Mullanpur,2026-04-20,IPL
ipl2026-m29-pbks-lsg,1,4,1,cooper-connolly,priyansh-arya,prince-yadav,PBKS,LSG,0,0,,False,,,,Mullanpur,2026-04-20,IPL
