match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m30-gt-mi,1,0,1,quinton-de-kock,,mohammed-siraj,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,0,2,quinton-de-kock,,mohammed-siraj,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,0,3,danish-malewar,quinton-de-kock,mohammed-siraj,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,0,4,danish-malewar,quinton-de-kock,mohammed-siraj,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,0,5,quinton-de-kock,danish-malewar,mohammed-siraj,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,0,6,quinton-de-kock,danish-malewar,mohammed-siraj,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,1,1,danish-malewar,quinton-de-kock,kagiso-rabada,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,1,2,quinton-de-kock,danish-malewar,kagiso-rabada,MI,GT,6,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,1,3,quinton-de-kock,danish-malewar,kagiso-rabada,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,1,4,quinton-de-kock,danish-malewar,kagiso-rabada,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,1,5,danish-malewar,quinton-de-kock,kagiso-rabada,MI,GT,0,0,,True,lbw,danish-malewar,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,1,6,naman-dhir,quinton-de-kock,kagiso-rabada,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,2,1,naman-dhir,quinton-de-kock,mohammed-siraj,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,2,2,quinton-de-kock,naman-dhir,mohammed-siraj,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,2,3,naman-dhir,quinton-de-kock,mohammed-siraj,MI,GT,4,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,2,4,naman-dhir,quinton-de-kock,mohammed-siraj,MI,GT,4,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,2,5,naman-dhir,quinton-de-kock,mohammed-siraj,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,2,6,naman-dhir,quinton-de-kock,mohammed-siraj,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,3,1,quinton-de-kock,naman-dhir,kagiso-rabada,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,3,2,quinton-de-kock,naman-dhir,kagiso-rabada,MI,GT,4,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,3,3,quinton-de-kock,naman-dhir,kagiso-rabada,MI,GT,0,0,,True,caught,quinton-de-kock,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,3,4,suryakumar-yadav,naman-dhir,kagiso-rabada,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,3,5,suryakumar-yadav,naman-dhir,kagiso-rabada,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,3,5,suryakumar-yadav,naman-dhir,kagiso-rabada,MI,GT,0,1,wide,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,3,6,suryakumar-yadav,naman-dhir,kagiso-rabada,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,4,1,suryakumar-yadav,naman-dhir,mohammed-siraj,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,4,2,naman-dhir,suryakumar-yadav,mohammed-siraj,MI,GT,0,1,legbye,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,4,3,suryakumar-yadav,naman-dhir,mohammed-siraj,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,4,4,naman-dhir,suryakumar-yadav,mohammed-siraj,MI,GT,0,1,legbye,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,4,5,suryakumar-yadav,naman-dhir,mohammed-siraj,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,4,6,naman-dhir,suryakumar-yadav,mohammed-siraj,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,5,1,suryakumar-yadav,naman-dhir,kagiso-rabada,MI,GT,6,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,5,2,suryakumar-yadav,naman-dhir,kagiso-rabada,MI,GT,4,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,5,3,suryakumar-yadav,naman-dhir,kagiso-rabada,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,5,4,naman-dhir,suryakumar-yadav,kagiso-rabada,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,5,5,suryakumar-yadav,naman-dhir,kagiso-rabada,MI,GT,0,0,,True,bowled,suryakumar-yadav,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,5,6,tilak-varma,naman-dhir,kagiso-rabada,MI,GT,2,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,6,1,naman-dhir,tilak-varma,ashok-sharma,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,6,2,naman-dhir,tilak-varma,ashok-sharma,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,6,3,naman-dhir,tilak-varma,ashok-sharma,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,6,4,naman-dhir,tilak-varma,ashok-sharma,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,6,5,naman-dhir,tilak-varma,ashok-sharma,MI,GT,4,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,6,6,naman-dhir,tilak-varma,ashok-sharma,MI,GT,4,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,7,1,tilak-varma,naman-dhir,rashid-khan,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,7,2,naman-dhir,tilak-varma,rashid-khan,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,7,3,tilak-varma,naman-dhir,rashid-khan,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,7,4,naman-dhir,tilak-varma,rashid-khan,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,7,5,naman-dhir,tilak-varma,rashid-khan,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,7,6,naman-dhir,tilak-varma,rashid-khan,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,8,1,naman-dhir,tilak-varma,prasidh-krishna,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,8,2,tilak-varma,naman-dhir,prasidh-krishna,MI,GT,2,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,8,3,tilak-varma,naman-dhir,prasidh-krishna,MI,GT,0,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,8,4,tilak-varma,naman-dhir,prasidh-krishna,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,8,5,naman-dhir,tilak-varma,prasidh-krishna,MI,GT,4,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,8,6,naman-dhir,tilak-varma,prasidh-krishna,MI,GT,2,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,9,1,tilak-varma,naman-dhir,rashid-khan,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,9,2,naman-dhir,tilak-varma,rashid-khan,MI,GT,0,1,legbye,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,9,3,tilak-varma,naman-dhir,rashid-khan,MI,GT,0,1,legbye,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,9,4,naman-dhir,tilak-varma,rashid-khan,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,9,5,tilak-varma,naman-dhir,rashid-khan,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,9,6,naman-dhir,tilak-varma,rashid-khan,MI,GT,2,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,10,1,tilak-varma,naman-dhir,washington-sundar,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,10,2,naman-dhir,tilak-varma,washington-sundar,MI,GT,6,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,10,3,naman-dhir,tilak-varma,washington-sundar,MI,GT,4,0,,False,,,,Ahmedabad,2026-04-21,IPL
ipl2026-m30-gt-mi,1,10,4,naman-dhir,tilak-varma,washington-sundar,MI,GT,1,0,,False,,,,Ahmedabad,2026-04-21,IPL
