match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m31-srh-dc,1,0,1,abhishek-sharma,,mukesh-kumar,SRH,DC,2,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,0,2,abhishek-sharma,,mukesh-kumar,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,0,3,travis-head,abhishek-sharma,mukesh-kumar,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,0,4,travis-head,abhishek-sharma,mukesh-kumar,SRH,DC,4,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,0,5,travis-head,abhishek-sharma,mukesh-kumar,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,0,6,travis-head,abhishek-sharma,mukesh-kumar,SRH,DC,2,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,1,1,abhishek-sharma,travis-head,nitish-rana,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,1,2,abhishek-sharma,travis-head,nitish-rana,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,1,3,travis-head,abhishek-sharma,nitish-rana,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,1,4,travis-head,abhishek-sharma,nitish-rana,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,1,5,travis-head,abhishek-sharma,nitish-rana,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,1,6,abhishek-sharma,travis-head,nitish-rana,SRH,DC,4,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,2,1,travis-head,abhishek-sharma,mukesh-kumar,SRH,DC,2,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,2,2,travis-head,abhishek-sharma,mukesh-kumar,SRH,DC,4,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,2,3,travis-head,abhishek-sharma,mukesh-kumar,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,2,4,travis-head,abhishek-sharma,mukesh-kumar,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,2,5,abhishek-sharma,travis-head,mukesh-kumar,SRH,DC,0,0,,True,caught,abhishek-sharma,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,2,6,abhishek-sharma,travis-head,mukesh-kumar,SRH,DC,4,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,3,1,travis-head,abhishek-sharma,lungi-ngidi,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,3,2,abhishek-sharma,travis-head,lungi-ngidi,SRH,DC,4,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,3,3,abhishek-sharma,travis-head,lungi-ngidi,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,3,4,abhishek-sharma,travis-head,lungi-ngidi,SRH,DC,4,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,3,5,abhishek-sharma,travis-head,lungi-ngidi,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,3,6,abhishek-sharma,travis-head,lungi-ngidi,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,4,1,abhishek-sharma,travis-head,nitish-rana,SRH,DC,6,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,4,2,abhishek-sharma,travis-head,nitish-rana,SRH,DC,6,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,4,3,abhishek-sharma,travis-head,nitish-rana,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,4,4,travis-head,abhishek-sharma,nitish-rana,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,4,5,travis-head,abhishek-sharma,nitish-rana,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,4,5,travis-head,abhishek-sharma,nitish-rana,SRH,DC,0,1,wide,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,4,6,travis-head,abhishek-sharma,nitish-rana,SRH,DC,6,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,5,1,abhishek-sharma,travis-head,lungi-ngidi,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,5,2,travis-head,abhishek-sharma,lungi-ngidi,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,5,3,abhishek-sharma,travis-head,lungi-ngidi,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,5,4,abhishek-sharma,travis-head,lungi-ngidi,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,5,5,travis-head,abhishek-sharma,lungi-ngidi,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,5,6,abhishek-sharma,travis-head,lungi-ngidi,SRH,DC,6,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,5,6,abhishek-sharma,travis-head,lungi-ngidi,SRH,DC,0,1,wide,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,6,1,travis-head,abhishek-sharma,axar-patel,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,6,2,abhishek-sharma,travis-head,axar-patel,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,6,3,travis-head,abhishek-sharma,axar-patel,SRH,DC,2,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,6,4,travis-head,abhishek-sharma,axar-patel,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,6,5,abhishek-sharma,travis-head,axar-patel,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,6,6,travis-head,abhishek-sharma,axar-patel,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,7,1,travis-head,abhishek-sharma,kuldeep-yadav,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,7,2,abhishek-sharma,travis-head,kuldeep-yadav,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,7,3,abhishek-sharma,travis-head,kuldeep-yadav,SRH,DC,4,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,7,4,abhishek-sharma,travis-head,kuldeep-yadav,SRH,DC,1,0,,False,,,,Hyderabad,2026-04-22,IPL
ipl2026-m31-srh-dc,1,7,5,travis-head,abhishek-sharma,kuldeep-yadav,SRH,DC,0,0,,False,,,,Hyderabad,2026-04-22,IPL
