match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m32-rr-lsg,1,0,1,yashasvi-jaiswal,,mohammed-shami,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,0,1,yashasvi-jaiswal,,mohammed-shami,RR,LSG,0,1,wide,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,0,2,yashasvi-jaiswal,,mohammed-shami,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,0,3,yashasvi-jaiswal,,mohammed-shami,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,0,3,yashasvi-jaiswal,,mohammed-shami,RR,LSG,0,1,wide,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,0,4,yashasvi-jaiswal,,mohammed-shami,RR,LSG,4,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,0,5,yashasvi-jaiswal,,mohammed-shami,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,0,6,yashasvi-jaiswal,,mohammed-shami,RR,LSG,1,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,1,1,yashasvi-jaiswal,,prince-yadav,RR,LSG,5,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,1,2,vaibhav-sooryavanshi,yashasvi-jaiswal,prince-yadav,RR,LSG,4,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,1,3,vaibhav-sooryavanshi,yashasvi-jaiswal,prince-yadav,RR,LSG,4,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,1,4,vaibhav-sooryavanshi,yashasvi-jaiswal,prince-yadav,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,1,5,vaibhav-sooryavanshi,yashasvi-jaiswal,prince-yadav,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,1,6,vaibhav-sooryavanshi,yashasvi-jaiswal,prince-yadav,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,2,1,yashasvi-jaiswal,vaibhav-sooryavanshi,mohammed-shami,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,2,2,yashasvi-jaiswal,vaibhav-sooryavanshi,mohammed-shami,RR,LSG,4,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,2,3,yashasvi-jaiswal,vaibhav-sooryavanshi,mohammed-shami,RR,LSG,4,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,2,4,yashasvi-jaiswal,vaibhav-sooryavanshi,mohammed-shami,RR,LSG,4,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,2,5,yashasvi-jaiswal,vaibhav-sooryavanshi,mohammed-shami,RR,LSG,0,0,,True,caught,yashasvi-jaiswal,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,2,6,dhruv-jurel,vaibhav-sooryavanshi,mohammed-shami,RR,LSG,0,0,,True,caught,dhruv-jurel,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,3,1,vaibhav-sooryavanshi,,mohsin-khan,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,3,2,vaibhav-sooryavanshi,,mohsin-khan,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,3,3,vaibhav-sooryavanshi,,mohsin-khan,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,3,4,vaibhav-sooryavanshi,,mohsin-khan,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,3,5,vaibhav-sooryavanshi,,mohsin-khan,RR,LSG,0,0,,False,,,,Lucknow,2026-04-23,IPL
ipl2026-m32-rr-lsg,1,3,6,vaibhav-sooryavanshi,,mohsin-khan,RR,LSG,0,0,,True,caught,vaibhav-sooryavanshi,,Lucknow,2026-04-23,IPL
