match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m3-rr-csk,1,0,1,sanju-samson,,jofra-archer,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,0,2,sanju-samson,,jofra-archer,CSK,RR,0,1,legbye,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,0,3,ruturaj-gaikwad,sanju-samson,jofra-archer,CSK,RR,1,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,0,4,sanju-samson,ruturaj-gaikwad,jofra-archer,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,0,5,sanju-samson,ruturaj-gaikwad,jofra-archer,CSK,RR,4,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,0,6,sanju-samson,ruturaj-gaikwad,jofra-archer,CSK,RR,1,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,1,1,sanju-samson,ruturaj-gaikwad,nandre-burger,CSK,RR,1,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,1,2,ruturaj-gaikwad,sanju-samson,nandre-burger,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,1,3,ruturaj-gaikwad,sanju-samson,nandre-burger,CSK,RR,0,1,legbye,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,1,4,ruturaj-gaikwad,sanju-samson,nandre-burger,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,1,5,ruturaj-gaikwad,sanju-samson,nandre-burger,CSK,RR,0,1,wide,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,1,6,sanju-samson,ruturaj-gaikwad,nandre-burger,CSK,RR,0,0,,True,bowled,sanju-samson,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,2,1,ruturaj-gaikwad,,jofra-archer,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,2,2,ruturaj-gaikwad,,jofra-archer,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,2,3,ruturaj-gaikwad,,jofra-archer,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,2,4,ruturaj-gaikwad,,jofra-archer,CSK,RR,4,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,2,5,ruturaj-gaikwad,,jofra-archer,CSK,RR,4,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,2,6,ruturaj-gaikwad,,jofra-archer,CSK,RR,0,1,wide,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,3,1,ayush-mhatre,ruturaj-gaikwad,nandre-burger,CSK,RR,0,0,,True,caught,ayush-mhatre,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,3,2,sarfaraz-khan,ruturaj-gaikwad,nandre-burger,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,3,3,sarfaraz-khan,ruturaj-gaikwad,nandre-burger,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,3,4,sarfaraz-khan,ruturaj-gaikwad,nandre-burger,CSK,RR,4,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,3,5,sarfaraz-khan,ruturaj-gaikwad,nandre-burger,CSK,RR,6,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,3,6,sarfaraz-khan,ruturaj-gaikwad,nandre-burger,CSK,RR,0,1,wide,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,4,1,matthew-short,sarfaraz-khan,brijesh-sharma,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,4,2,matthew-short,sarfaraz-khan,brijesh-sharma,CSK,RR,0,1,wide,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,4,3,matthew-short,sarfaraz-khan,brijesh-sharma,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,4,4,matthew-short,sarfaraz-khan,brijesh-sharma,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,4,5,matthew-short,sarfaraz-khan,brijesh-sharma,CSK,RR,1,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,4,6,sarfaraz-khan,matthew-short,brijesh-sharma,CSK,RR,4,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,5,1,matthew-short,sarfaraz-khan,sandeep-sharma,CSK,RR,1,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,5,2,sarfaraz-khan,matthew-short,sandeep-sharma,CSK,RR,1,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,5,3,matthew-short,sarfaraz-khan,sandeep-sharma,CSK,RR,0,0,,True,caught,matthew-short,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,5,4,kartik-sharma,sarfaraz-khan,sandeep-sharma,CSK,RR,2,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,5,5,kartik-sharma,sarfaraz-khan,sandeep-sharma,CSK,RR,1,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,5,6,sarfaraz-khan,kartik-sharma,sandeep-sharma,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,6,1,kartik-sharma,sarfaraz-khan,ravi-bishnoi,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,6,2,kartik-sharma,sarfaraz-khan,ravi-bishnoi,CSK,RR,1,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,6,3,sarfaraz-khan,kartik-sharma,ravi-bishnoi,CSK,RR,1,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,6,4,kartik-sharma,sarfaraz-khan,ravi-bishnoi,CSK,RR,1,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,6,5,sarfaraz-khan,kartik-sharma,ravi-bishnoi,CSK,RR,1,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,6,6,kartik-sharma,sarfaraz-khan,ravi-bishnoi,CSK,RR,6,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,7,1,sarfaraz-khan,kartik-sharma,ravindra-jadeja,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,7,2,sarfaraz-khan,kartik-sharma,ravindra-jadeja,CSK,RR,0,0,,True,lbw,sarfaraz-khan,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,7,3,shivam-dube,kartik-sharma,ravindra-jadeja,CSK,RR,6,0,,False,,,,Guwahati,2026-03-30,IPL
ipl2026-m3-rr-csk,1,7,4,shivam-dube,kartik-sharma,ravindra-jadeja,CSK,RR,0,0,,False,,,,Guwahati,2026-03-30,IPL
