match_id,innings,over,ball_in_over,batter_id,non_striker_id,bowler_id,batting_team,bowling_team,runs_batter,runs_extras,extras_type,wicket,dismissal_kind,batter_out_id,strike_rate_inn,venue,date,competition
ipl2026-m8-dc-mi,1,0,1,ryan-rickelton,,mukesh-kumar,MI,DC,4,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,0,2,ryan-rickelton,,mukesh-kumar,MI,DC,0,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,0,3,ryan-rickelton,,mukesh-kumar,MI,DC,0,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,0,4,ryan-rickelton,,mukesh-kumar,MI,DC,4,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,0,5,ryan-rickelton,,mukesh-kumar,MI,DC,0,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,0,6,ryan-rickelton,,mukesh-kumar,MI,DC,0,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,1,1,rohit-sharma,ryan-rickelton,lungi-ngidi,MI,DC,4,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,1,2,rohit-sharma,ryan-rickelton,lungi-ngidi,MI,DC,0,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,1,3,rohit-sharma,ryan-rickelton,lungi-ngidi,MI,DC,4,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,1,4,rohit-sharma,ryan-rickelton,lungi-ngidi,MI,DC,1,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,1,5,ryan-rickelton,rohit-sharma,lungi-ngidi,MI,DC,0,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,1,6,ryan-rickelton,rohit-sharma,lungi-ngidi,MI,DC,1,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,2,1,ryan-rickelton,rohit-sharma,mukesh-kumar,MI,DC,0,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,2,2,ryan-rickelton,rohit-sharma,mukesh-kumar,MI,DC,0,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,2,3,ryan-rickelton,rohit-sharma,mukesh-kumar,MI,DC,0,0,,True,caught,ryan-rickelton,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,2,4,tilak-varma,rohit-sharma,mukesh-kumar,MI,DC,0,0,,False,,,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,2,5,tilak-varma,rohit-sharma,mukesh-kumar,MI,DC,0,0,,True,caught,tilak-varma,,Delhi,2026-04-04,IPL
ipl2026-m8-dc-mi,1,2,6,suryakumar-yadav,rohit-sharma,mukesh-kumar,MI,DC,4,0,,False,,,,Delhi,2026-04-04,IPL
